,num_votes,rating,tconst,title,year,runtime,genres
0,1660260,9.3,tt0111161,The Shawshank Redemption,1994,8520,"[Crime, Drama]"
1,1136368,9.2,tt0068646,The Godfather,1972,10500,"[Crime, Drama]"
2,776109,9.0,tt0071562,The Godfather: Part II,1974,12120,"[Crime, Drama]"
3,1645935,9.0,tt0468569,The Dark Knight,2008,9120,"[Action, Crime, Thriller]"
4,849374,8.9,tt0108052,Schindler's List,1993,11700,"[Biography, Drama, History]"
5,437922,8.9,tt0050083,12 Angry Men,1957,5760,"[Crime, Drama]"
6,1301183,8.9,tt0110912,Pulp Fiction,1994,9240,"[Crime, Drama]"
7,1194767,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003,12060,"[Adventure, Drama, Fantasy]"
8,494916,8.9,tt0060196,"The Good, the Bad and the Ugly",1966,9660,[Western]
9,1321861,8.9,tt0137523,Fight Club,1999,8340,[Drama]
10,1218200,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,10680,"[Adventure, Drama, Fantasy]"
11,821418,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,7440,"[Action, Adventure, Fantasy, Sci-Fi]"
12,1225084,8.8,tt0109830,Forrest Gump,1994,8520,"[Drama, Romance]"
13,1439479,8.8,tt1375666,Inception,2010,8880,"[Action, Mystery, Sci-Fi, Thriller]"
14,1080893,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002,10740,"[Action, Adventure, Drama, Fantasy]"
15,668685,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975,7980,[Drama]
16,715698,8.7,tt0099685,Goodfellas,1990,8760,"[Biography, Crime, Drama]"
17,1196367,8.7,tt0133093,The Matrix,1999,8160,"[Action, Sci-Fi]"
18,225396,8.7,tt0047478,Seven Samurai,1954,9480,"[Action, Adventure, Drama]"
19,895015,8.7,tt0076759,Star Wars,1977,7260,"[Action, Adventure, Fantasy, Sci-Fi]"
20,524682,8.7,tt0317248,City of God,2002,7800,"[Crime, Drama]"
21,1004235,8.6,tt0114369,Se7en,1995,7620,"[Crime, Drama, Mystery, Thriller]"
22,869467,8.6,tt0102926,The Silence of the Lambs,1991,7080,"[Crime, Drama, Thriller]"
23,271085,8.6,tt0038650,It's a Wonderful Life,1946,7800,"[Drama, Family, Fantasy, Romance]"
24,727988,8.6,tt0114814,The Usual Suspects,1995,6360,"[Crime, Drama, Mystery, Thriller]"
25,410934,8.6,tt0118799,Life Is Beautiful,1997,6960,"[Comedy, Drama, Romance, War]"
26,711974,8.6,tt0110413,Léon: The Professional,1994,6600,"[Crime, Drama, Thriller]"
27,212260,8.6,tt0064116,Once Upon a Time in the West,1968,8700,[Western]
28,408101,8.6,tt0245429,Spirited Away,2001,7500,"[Animation, Adventure, Family, Fantasy]"
29,864652,8.6,tt0120815,Saving Private Ryan,1998,10140,"[Action, Drama, War]"
30,769798,8.6,tt0120586,American History X,1998,6060,"[Crime, Drama]"
31,381676,8.6,tt0034583,Casablanca,1942,6120,"[Drama, Romance, War]"
32,899054,8.6,tt0816692,Interstellar,2014,10140,"[Adventure, Drama, Sci-Fi]"
33,414338,8.5,tt0054215,Psycho,1960,6540,"[Horror, Mystery, Thriller]"
34,105767,8.6,tt0021749,City Lights,1931,5220,"[Comedy, Drama, Romance]"
35,650014,8.5,tt0082971,Raiders of the Lost Ark,1981,6900,"[Action, Adventure]"
36,490678,8.6,tt1675434,The Intouchables,2011,6720,"[Biography, Comedy, Drama]"
37,310513,8.5,tt0047396,Rear Window,1954,6720,"[Mystery, Thriller]"
38,139742,8.6,tt0027977,Modern Times,1936,5220,"[Comedy, Drama]"
39,766376,8.5,tt0120689,The Green Mile,1999,11340,"[Crime, Drama, Fantasy, Mystery]"
40,732369,8.5,tt0103064,Terminator 2: Judgment Day,1991,9180,"[Action, Sci-Fi]"
41,488202,8.5,tt0253474,The Pianist,2002,9000,"[Biography, Drama, War]"
42,857502,8.5,tt0407887,The Departed,2006,9060,"[Crime, Drama, Thriller]"
43,717018,8.5,tt0088763,Back to the Future,1985,6960,"[Adventure, Comedy, Sci-Fi]"
44,381967,8.5,tt2582802,Whiplash,2014,6420,"[Drama, Music]"
45,965428,8.5,tt0172495,Gladiator,2000,9300,"[Action, Drama]"
46,831345,8.5,tt0209144,Memento,2000,6780,"[Mystery, Thriller]"
47,443806,8.5,tt0078788,Apocalypse Now,1979,9180,"[Drama, War]"
48,826750,8.5,tt0482571,The Prestige,2006,7800,"[Drama, Mystery, Sci-Fi, Thriller]"
49,629985,8.5,tt0110357,The Lion King,1994,5340,"[Animation, Adventure, Drama, Family, Musical]"
50,337092,8.5,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,5700,[Comedy]
51,137064,8.5,tt0043014,Sunset Blvd.,1950,6600,"[Drama, Film-Noir]"
52,553582,8.5,tt0078748,Alien,1979,7020,"[Horror, Sci-Fi]"
53,134513,8.5,tt0032553,The Great Dictator,1940,7500,"[Comedy, Drama, War]"
54,255071,8.5,tt0405094,The Lives of Others,2006,8220,"[Drama, Thriller]"
55,149189,8.5,tt0095765,Cinema Paradiso,1988,9300,[Drama]
56,933966,8.5,tt1853728,Django Unchained,2012,9900,"[Drama, Western]"
57,598207,8.4,tt0081505,The Shining,1980,8640,"[Drama, Horror]"
58,118624,8.5,tt0050825,Paths of Glory,1957,5280,"[Drama, War]"
59,134611,8.5,tt0095327,Grave of the Fireflies,1988,5340,"[Animation, Drama, War]"
60,702788,8.4,tt0910970,WALL·E,2008,5880,"[Animation, Adventure, Family, Sci-Fi]"
61,1123277,8.5,tt1345836,The Dark Knight Rises,2012,9840,"[Action, Thriller]"
62,809239,8.4,tt0169547,American Beauty,1999,7320,[Drama]
63,480824,8.4,tt0090605,Aliens,1986,9240,"[Action, Horror, Sci-Fi]"
64,216854,8.4,tt0119698,Princess Mononoke,1997,8040,"[Animation, Adventure, Fantasy]"
65,348933,8.4,tt0364569,Oldboy,2003,7200,"[Drama, Mystery, Thriller]"
66,293470,8.4,tt0033467,Citizen Kane,1941,7140,"[Drama, Mystery]"
67,217068,8.4,tt0053125,North by Northwest,1959,8160,"[Adventure, Crime, Mystery, Thriller]"
68,217095,8.4,tt0087843,Once Upon a Time in America,1984,8340,"[Crime, Drama]"
69,165651,8.4,tt0082096,Das Boot,1981,14340,"[Adventure, Drama, Thriller, War]"
70,243941,8.4,tt0052357,Vertigo,1958,7740,"[Mystery, Romance, Thriller]"
71,667816,8.4,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,7860,"[Action, Adventure, Fantasy, Sci-Fi]"
72,61447,8.4,tt0051201,Witness for the Prosecution,1957,6960,"[Crime, Drama, Mystery, Thriller]"
73,97400,8.4,tt0022100,M,1931,5940,"[Crime, Drama, Mystery, Thriller]"
74,652083,8.4,tt0105236,Reservoir Dogs,1992,5940,"[Crime, Drama, Thriller]"
75,525173,8.4,tt0211915,Amélie,2001,7320,"[Comedy, Romance]"
76,724729,8.4,tt0112573,Braveheart,1995,10680,"[Biography, Drama, History, War]"
77,563577,8.4,tt0180093,Requiem for a Dream,2000,6120,[Drama]
78,547637,8.4,tt0066921,A Clockwork Orange,1971,8160,"[Crime, Drama, Sci-Fi]"
79,497021,8.3,tt0075314,Taxi Driver,1976,6780,"[Crime, Drama]"
80,95899,8.4,tt0036775,Double Indemnity,1944,6420,"[Crime, Drama, Film-Noir, Mystery, Thriller]"
81,532816,8.3,tt0435761,Toy Story 3,2010,6180,"[Animation, Adventure, Comedy, Family, Fantasy]"
82,189381,8.4,tt0056172,Lawrence of Arabia,1962,13620,"[Adventure, Biography, Drama, History, War]"
83,210884,8.4,tt0056592,To Kill a Mockingbird,1962,7740,"[Crime, Drama]"
84,654216,8.3,tt0338013,Eternal Sunshine of the Spotless Mind,2004,6480,"[Drama, Romance, Sci-Fi]"
85,475809,8.3,tt0093058,Full Metal Jacket,1987,6960,"[Drama, War]"
86,266121,8.3,tt0086879,Amadeus,1984,9600,"[Biography, Drama, History, Music]"
87,172472,8.3,tt0070735,The Sting,1973,7740,"[Comedy, Crime, Drama]"
88,419124,8.3,tt0062622,2001: A Space Odyssey,1968,8940,"[Adventure, Mystery, Sci-Fi]"
89,92492,8.3,tt0040522,Bicycle Thieves,1948,5340,[Drama]
90,147400,8.3,tt0045152,Singin' in the Rain,1952,6180,"[Comedy, Musical, Romance]"
91,591621,8.3,tt0208092,Snatch.,2000,6120,"[Comedy, Crime]"
92,609637,8.3,tt0114709,Toy Story,1995,4860,"[Animation, Adventure, Comedy, Family, Fantasy]"
93,376294,8.3,tt0071853,Monty Python and the Holy Grail,1975,5460,"[Adventure, Comedy, Fantasy]"
94,866609,8.3,tt0361748,Inglourious Basterds,2009,9180,"[Adventure, Drama, War]"
95,65406,8.4,tt0012349,The Kid,1921,4080,"[Comedy, Drama, Family]"
96,408201,8.3,tt0119488,L.A. Confidential,1997,8280,"[Crime, Drama, Mystery, Thriller]"
97,153861,8.3,tt0059578,For a Few Dollars More,1965,7920,[Western]
98,107291,8.3,tt0053604,The Apartment,1960,7500,"[Comedy, Drama, Romance]"
99,100655,8.3,tt0042876,Rashomon,1950,5280,"[Crime, Drama]"
100,506362,8.3,tt0097576,Indiana Jones and the Last Crusade,1989,7620,"[Action, Adventure, Fantasy]"
